10
A1 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 
A2 B2 B3 B4 B5 B6 B7 B8 B9 B10 B1 
A3 B3 B4 B5 B6 B7 B8 B9 B10 B1 B2 
A4 B4 B5 B6 B7 B8 B9 B10 B1 B2 B3 
A5 B5 B6 B7 B8 B9 B10 B1 B2 B3 B4 
A6 B6 B7 B8 B9 B10 B1 B2 B3 B4 B5 
A7 B7 B8 B9 B10 B1 B2 B3 B4 B5 B6 
A8 B8 B9 B10 B1 B2 B3 B4 B5 B6 B7 
A9 B9 B10 B1 B2 B3 B4 B5 B6 B7 B8 
A10 B10 B1 B2 B3 B4 B5 B6 B7 B8 B9 
B1 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 
B2 A2 A3 A4 A5 A6 A7 A8 A9 A10 A1 
B3 A3 A4 A5 A6 A7 A8 A9 A10 A1 A2 
B4 A4 A5 A6 A7 A8 A9 A10 A1 A2 A3 
B5 A5 A6 A7 A8 A9 A10 A1 A2 A3 A4 
B6 A6 A7 A8 A9 A10 A1 A2 A3 A4 A5 
B7 A7 A8 A9 A10 A1 A2 A3 A4 A5 A6 
B8 A8 A9 A10 A1 A2 A3 A4 A5 A6 A7 
B9 A9 A10 A1 A2 A3 A4 A5 A6 A7 A8 
B10 A10 A1 A2 A3 A4 A5 A6 A7 A8 A9 
