20
A1 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 
A2 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 
A3 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 
A4 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 
A5 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 
A6 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 
A7 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 
A8 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 
A9 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 
A10 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 
A11 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 
A12 B12 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 
A13 B13 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 
A14 B14 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 
A15 B15 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 
A16 B16 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 
A17 B17 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 
A18 B18 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 
A19 B19 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 
A20 B20 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 
B1 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 
B2 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 
B3 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 
B4 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 
B5 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 
B6 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 
B7 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 
B8 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 
B9 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 
B10 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 
B11 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 
B12 A12 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 
B13 A13 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 
B14 A14 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 
B15 A15 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 
B16 A16 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 
B17 A17 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 
B18 A18 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 
B19 A19 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 
B20 A20 A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 
